#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Dünya Hain","Batuflex",61,145,"turkish hip hop, turkish trap","Hip Hop","Dünya Hain",2021-06-25,02:25,76,55,68,0,31,0,10,-10,A Major,4,2021-12-05,0qNeSaQsn2MzBppf6T8GdR,"Batuflex",11B,https://p.scdn.co/mp3-preview/9deeabe2cfd04a088813f6d3fa72842dc808d7ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851229426a758f02a77f6bc1d3d
2,"KISKANMA","Sdrk",0,105,"new school turkce rap","Hip Hop","KISKANMA",2021-07-30,01:36,95,50,5,0,63,10,10,-11,A Major,4,2021-12-05,3aBWFcUEAXHaBFbrMFtc1u,"Wovie",11B,,https://i.scdn.co/image/ab67616d00004851c40ec25a2bb337650bccd217
3,"Olabilir","MERO",0,140,"german hip hop","Hip Hop","UNIKAT",2019-09-27,03:30,75,78,30,0,78,0,10,-7,F#/G♭ Major,4,2021-12-05,3atDfMSYYjnC6R90eijbvf,"Groove Attack TraX",2B,,https://i.scdn.co/image/ab67616d00004851708ab5c2c1d0214366f57c04
4,"Baba","Ayaz Erdoğan,Mengelez",0,137,"turkish trap pop, ","Pop","Baba",2021-01-29,03:35,81,57,68,1,55,0,10,-9,A#/B♭ Minor,4,2021-12-05,4WVOnhv2a3vvBAzHbmdGHW,"Musixon",3A,,https://i.scdn.co/image/ab67616d00004851156a3fd5d7519714ebfa2cb2
5,"BENIM HAYALLER","Luciano,Ezhel",58,101,"german drill, german hip hop, turkish hip hop, turkish trap","Latin, Hip Hop","AQUA",2021-07-01,03:02,84,60,46,0,43,10,10,-7,C Minor,4,2021-12-05,6UhWOBZVHsuZHKJpQJYeWW,"URBAN",5A,,https://i.scdn.co/image/ab67616d000048519f04dab055abfe4f1efdae0c
6,"Step By Step","Sleepy Chows,Antomage,Bromage",44,100,"","","Step By Step",2021-03-05,02:16,93,86,8,0,81,20,30,-6,A#/B♭ Minor,4,2021-12-05,5I0g6XeCs2OnI1oOCvkTge,"Soave Records",3A,https://p.scdn.co/mp3-preview/2db920af2e4ad4b1c57998fbb08230e8a0ada94d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518c46036a54ce24703da097cc
7,"Ni**as In Paris","JAY-Z,Kanye West",44,140,"east coast hip hop, gangster rap, hip hop, pop rap, rap, chicago rap","Hip Hop","Watch The Throne (Deluxe)",2011-08-08,03:39,79,86,13,0,78,30,30,-6,C♯/D♭ Major,4,2021-12-05,4Li2WHPkuyCdtmokzW2007,"Roc Nation/RocAFella/IDJ",3B,,https://i.scdn.co/image/ab67616d000048515c837cc621c1ec82bf3c81ac
8,"LE CANE","Muti,UZI,Critical,Heijan",62,139,"turkce drill, turkish hip hop, turkish trap, new school turkce rap","Hip Hop","LE CANE",2021-07-16,04:16,80,84,28,0,69,20,30,-5,B Minor,4,2021-12-05,03S0moTUyxwtznCNWOreb4,"Ava Music",10A,https://p.scdn.co/mp3-preview/cb41cc52dd6e144298f2de9417200e5aa9a57b13?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d7abe44151a87f1bb075dd25
9,"Krvn","UZI",62,115,"turkish hip hop, turkish trap","Hip Hop","Kan",2021-03-19,02:51,97,58,14,0,19,0,10,-6,G#/A♭ Major,4,2021-12-05,4a1WLOoydq7u011UG9jjC9,"M.O.B. Entertainment",4B,https://p.scdn.co/mp3-preview/c595da41713f76fe3935b4314acda5b4b54a82c2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167c738a703dc979f5c3c52ef
10,"Enayi","Muti,Heijan",0,120,"turkce drill, turkish hip hop","Hip Hop","AFROdizyak",2020-07-03,02:21,91,73,9,0,45,20,0,-4,G Major,4,2021-12-05,7jIPQlsAiZagTOoikeMt5W,"ILS Music",9B,,https://i.scdn.co/image/ab67616d00004851b1ad09cb0111078671882f2d
11,"Yalan","Reynmen,Zeynep Bastık,Arem Ozguc,Arman Aydin",61,92,"turkish hip hop, turkish pop, turkish edm","Electronic, Hip Hop, Pop","Yalan",2021-09-24,02:44,69,62,5,0,11,0,10,-5,C♯/D♭ Minor,4,2021-12-05,2coKk2gtpeK86rFNEtYjzP,"Houze Istanbul",12A,https://p.scdn.co/mp3-preview/7e74df78b33f062fb01b9538af5f3cd81c0fc453?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510ce32c4fbb5677206402f6ac
12,"Rampapa","KADR,HEDIYE",48,107,"turkish trap pop, ","Pop","Rampapa",2020-07-17,02:21,86,69,42,0,70,0,10,-5,G Minor,4,2021-12-05,271A68PJ3tTh3iqZ5rqp0Y,"Embassy of Music",6A,https://p.scdn.co/mp3-preview/862412767090b58c076a128cfabec26fd70f90ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851082a85c51e480974cc8e38eb
13,"Hayrola","Artz,Bugy,Ezhel",61,151,"turkish hip hop, turkish trap","Hip Hop","Hayrola",2021-10-22,03:37,79,63,3,0,55,10,30,-8,G#/A♭ Minor,4,2021-12-05,7HgEjJCh0hQ0GO7PjQvEF3,"Koal Arts GmbH",1A,https://p.scdn.co/mp3-preview/65cb70f61e4c94860bd114836d2077c97b16de23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cbd08db41ec858a0b9b31a5b
14,"Şampanya","Ceg",55,117,"turkish hip hop, turkish trap","Hip Hop","Şampanya",2019-07-19,04:13,87,63,42,0,46,0,10,-8,F Minor,4,2021-12-05,3flurnTXJlSjMa9yj2uvY0,"Whitechapel Müzik Organizasyon Ticaret Limited",4A,https://p.scdn.co/mp3-preview/9439f01c0c808de700794081cb34d105b0e3889b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513a499c0184831d3f3e7188c1
15,"Pare","Reynmen",52,106,"turkish hip hop, turkish pop","Hip Hop, Pop","Pare",2021-11-12,02:54,72,57,25,0,34,0,10,-9,C Major,4,2021-12-05,1qv3dJD70eC9mnIZnofWwP,"Houze Istanbul",8B,https://p.scdn.co/mp3-preview/868d34da140947fb53d082bf63141c9d2fcd6b4c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194e7897e26153e8d8bce8cff
16,"10 NUMARA","Lvbel C5",66,142,"turkce drill, turkish hip hop, turkish trap","Hip Hop","10 NUMARA",2021-10-15,01:58,68,65,1,0,65,10,0,-10,B Major,4,2021-12-05,6GDpxEOvaXS0nbqSrFtDAQ,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1B,,https://i.scdn.co/image/ab67616d000048518c086a20bb5af858228e0fa2
17,"Mahvettim","cakal",0,141,"turkce drill","","Mahvettim",2021-10-29,02:36,65,71,36,0,51,0,10,-6,A Minor,4,2021-12-05,1GWxwShcDEdSvlr0jcpYI1,"Perros Blancos",8A,,https://i.scdn.co/image/ab67616d00004851602f7f8b24996baab558506e
18,"PAPARAZZI","UZI",69,110,"turkish hip hop, turkish trap","Hip Hop","PAPARAZZI",2021-11-19,02:44,85,80,46,0,38,20,0,-6,A Minor,4,2021-12-05,6gxLEbRJlorva6uVRW4gof,"Ava Music / Avrupa Müzik",8A,https://p.scdn.co/mp3-preview/282d46a54495d5c1b2ecd628780956038d331a44?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517e114c9fa018c5e104aad4dc
19,"Need to Know","Doja Cat",82,130,"dance pop, pop","Pop","Planet Her",2021-06-25,03:30,66,61,30,0,19,0,0,-7,C♯/D♭ Major,4,2021-12-05,3Vi5XqYrmQgOYBajMWSvCi,"Kemosabe Records/RCA Records",3B,https://p.scdn.co/mp3-preview/153dc4a72a260497f8ea87a00e2af7afb0a0df08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be841ba4bc24340152e3a79a
20,"Yengen Kızar","Tuhan,UZI",0,125,"new school turkce rap, turkish trap, turkish hip hop","Hip Hop","Motorola",2021-07-02,02:08,95,64,11,0,61,20,10,-8,B Major,4,2021-12-05,6CwQscf339HEHADnbFSbTJ,"M.O.B. Entertainment",1B,,https://i.scdn.co/image/ab67616d000048517a1ed83dd8c372a54ed0146c
21,"toz duman","Sefo",6,99,"turkish trap","Hip Hop","toz duman",2021-05-28,02:47,78,66,45,0,38,10,10,-6,A Minor,4,2021-12-05,5rS3b5yHagEQGI7HqDusZ5,"3TR6AP2",8A,,https://i.scdn.co/image/ab67616d00004851c6c0e642fc027fdf0ef9e5a5
22,"Favela","UZI",56,115,"turkish hip hop, turkish trap","Hip Hop","Favela",2019-11-08,03:41,73,83,58,0,51,10,10,-5,G Minor,4,2021-12-05,0OSmjU2982agUzLQ08Wqkl,"M.O.B. Entertainment",6A,https://p.scdn.co/mp3-preview/019825b6822aec4a4142270611c554433d6a0f7b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7929055d263700835d2dccf
23,"Lütfen","cakal",0,125,"turkce drill","","Lütfen",2021-07-09,02:27,63,79,9,0,53,10,50,-7,D#/E♭ Minor,4,2021-12-05,18yBnbSt7VvEVV3Hkm9xwV,"Perros Blancos",2A,,https://i.scdn.co/image/ab67616d000048518eaee3916ff6c764618e58fb
24,"ralli","Lvbel C5,Batuflex",64,140,"turkce drill, turkish hip hop, turkish trap","Hip Hop","ralli",2021-07-09,02:19,65,66,14,0,59,10,10,-8,D Major,4,2021-12-05,7JFlVFtzAQQKXcgYRRhoKA,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",10B,,https://i.scdn.co/image/ab67616d0000485169d097c052406563778630a4
25,"Dalga","Batuflex",65,142,"turkish hip hop, turkish trap","Hip Hop","Dalga",2021-09-17,02:05,76,88,8,3,72,10,0,-8,B Minor,4,2021-12-05,3P0WmQXWzV3yqFyfgVolrT,"Batuflex",10A,https://p.scdn.co/mp3-preview/ee40b848c81067f708d096435a8aca81d73eb0df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cd0594193d1a82de37bff6a6
26,"Ömrüm","Motive,Murda",65,115,"turkish hip hop, turkish trap, turkce drill","Hip Hop","Ömrüm",2021-09-03,04:00,76,72,31,0,14,0,10,-7,G#/A♭ Major,4,2021-12-05,0GwSSml9L21vNI7VGLz1ae,"Ava Music / Avrupa Müzik",4B,https://p.scdn.co/mp3-preview/fd6c9c08a6ad48a89017ba49e691b662973ee2d2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851613e73a94823952ca9af5430
27,"Esenyurt Trap Merso","Tuhan",53,125,"new school turkce rap, turkish trap","Hip Hop","Esenyurt Trap Merso",2020-08-28,02:42,87,80,8,0,53,0,10,-5,F Major,4,2021-12-05,0k8o46BoyAXEVam2IEWOM9,"M.O.B. Entertainment",7B,https://p.scdn.co/mp3-preview/8e8835dc09fb925ed4c0a743ade0575cbee953fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fe7c4ca3043b490e0ead62d1
28,"Anadolu Flex","Murda,Ezhel",55,130,"basshall, turkish hip hop, turkish trap","Electronic, Hip Hop","Made In Turkey",2020-08-28,03:31,74,65,75,0,31,20,10,-6,B Minor,4,2021-12-05,3K502RIh0pAHAQUvVQ2pf9,"Noah's Ark BV under exclusive license to StageArt Europe GmbH",10A,https://p.scdn.co/mp3-preview/ad50b51319e7e82f637f2dfff00eee775f9286b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485160a0a42aa8cf946c88f54dec
29,"Hobby Hobby","MERO",0,164,"german hip hop","Hip Hop","YA HERO YA MERO",2019-03-15,02:33,74,74,40,0,85,10,10,-6,F Minor,4,2021-12-05,0dmrz4V5kiezQAqQ3VqGob,"Groove Attack TraX",4A,,https://i.scdn.co/image/ab67616d00004851fd1e55a1a46e30b69d367e49
30,"Glock","cakal,Reckol",0,130,"turkce drill","","Glock",2021-06-23,02:14,70,65,57,0,49,0,10,-6,D#/E♭ Major,4,2021-12-05,4Bur2KF01b2iJq6a9zwU33,"Perros Blancos",5B,,https://i.scdn.co/image/ab67616d0000485129fc986e64236939ff72ad60
31,"GECELERİN DERDİ","BEGE",0,125,"turkce drill, turkish hip hop, turkish trap","Hip Hop","BEGEFENDİ",2021-01-29,02:37,75,59,12,0,44,0,10,-7,E Minor,4,2021-12-05,5L9oweGjkwBg0Mt9ZU9OhW,"LNCmusic",9A,,https://i.scdn.co/image/ab67616d00004851ca52e740dbb23c2b6cce3b8c
32,"Gece Gündüz (feat. MERO)","Murda,MERO",54,150,"basshall, turkish hip hop, turkish trap, german hip hop","Electronic, Hip Hop","Gece Gündüz (feat. MERO)",2021-01-29,03:02,82,58,2,0,28,10,10,-5,A#/B♭ Minor,4,2021-12-05,0rlJxSIT5MduSa0r5RbKFL,"Noah's Ark BV under exclusive license to StageArt Europe GmbH",3A,https://p.scdn.co/mp3-preview/aa662bb945323f4abc1f3fde62156e81fa793225?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851686fd05264717b07f61901b3
33,"Dior","Pop Smoke",83,142,"brooklyn drill, rap","Hip Hop","Meet The Woo",2019-07-26,03:36,55,81,21,0,65,30,40,-6,G Major,4,2021-12-05,79s5XnCN4TJKTVMSmOx8Ep,"Victor Victor Worldwide/Republic Records",9B,,https://i.scdn.co/image/ab67616d000048518fe5d04b06aff90f9fe796f5
34,"OHA","Summer Cem,Murda,Yung Felix",51,100,"german hip hop, basshall, turkish hip hop, turkish trap, dutch hip hop, dutch rap pop","Electronic, Hip Hop, Pop","OHA Remix (feat. Luciano)",2021-08-20,02:27,86,69,7,0,72,20,10,-6,G#/A♭ Major,4,2021-12-05,3yHelx7e7a8JjitKho5hdD,"Banger Musik/WM Germany",4B,https://p.scdn.co/mp3-preview/fa0d89fa613d27215cdd4ecf7706e89b570b31b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511fb96bfd8009cadc073679c8
35,"Bonita","Sefo,Reynmen",63,100,"turkish trap, turkish hip hop, turkish pop","Hip Hop, Pop","Bonita",2021-06-25,02:18,78,75,28,0,65,0,10,-5,F Major,4,2021-12-05,3Obq1XTegJy7ISrAA9VjQk,"Houze Istanbul",7B,https://p.scdn.co/mp3-preview/dbc0b6ef03bd306e342082c3ec50f413f9d13b93?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111280ada3984a5baf05e91f7
36,"Pahalı","Murda",53,95,"basshall, turkish hip hop, turkish trap","Electronic, Hip Hop","DOĞA",2020-02-14,02:12,90,72,7,1,48,10,0,-4,C♯/D♭ Minor,4,2021-12-05,3Y4QV5j8Ls5bjUfvihi2yn,"Noah's Ark VOF under exclusive license to StageArt Europe GmbH",12A,https://p.scdn.co/mp3-preview/e96032483b0114dd3be9ef473b2e88274ab7c9dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851088d1192e996d9b1a3d0572c
37,"NAPIYON LAN","Murda,SFB",44,130,"basshall, turkish hip hop, turkish trap, dutch hip hop, dutch rap pop","Electronic, Hip Hop, Pop","NAPIYON LAN",2020-06-12,02:53,89,46,25,0,38,0,40,-7,E Minor,4,2021-12-05,6GWB6kJ3NfrcZoMq94UQSl,"2020 Noah's Ark/Top Notch Music VOF excl. lic to StageArt Europe GmbH",9A,https://p.scdn.co/mp3-preview/c92b253b1e50b015b6c8b07b12375f907d918ffa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dab86789b439cc626748c839
38,"CINDY","UZI",70,133,"turkish hip hop, turkish trap","Hip Hop","CINDY",2021-09-24,01:59,72,84,54,0,39,30,0,-5,B Major,4,2021-12-05,2MvIexkUblP1QdpBzKot3N,"Ava Music / Avrupa Müzik",1B,https://p.scdn.co/mp3-preview/bc320f6141309f95a0808667af8679f0f254132b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519babf58f21e52d2835493a44
39,"Makina","UZI",51,110,"turkish hip hop, turkish trap","Hip Hop","Makina",2020-11-27,03:32,77,65,51,0,26,20,10,-7,F Minor,4,2021-12-05,2huQiKGkgUfp4WjnVRSobL,"M.O.B. Entertainment",4A,https://p.scdn.co/mp3-preview/9736fd66557feb7865be2f62951f01cc2bac8e8a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514299e20db03b76e74f5cde55
40,"AMCAS RMX","Batuflex,UZI,Lvbel C5,Critical",58,140,"turkish hip hop, turkish trap, turkce drill, new school turkce rap","Hip Hop","AMCAS RMX",2021-05-14,02:29,82,62,9,0,59,20,30,-8,F#/G♭ Minor,4,2021-12-05,6w55Qrt9626sXuYs01trjl,"Batuflex",11A,https://p.scdn.co/mp3-preview/ee181ff89c3cf5bb26de68f26a506c8daf48c5cb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca642d37fe27e82114229ffb
41,"Ben Elimi Sana Verdim","MERO",0,162,"german hip hop","Hip Hop","Seele",2020-12-04,03:02,64,86,6,46,43,20,60,-6,B Minor,4,2021-12-05,3oQCBK7XlbmgqWa4YonX8S,"Groove Attack TraX",10A,,https://i.scdn.co/image/ab67616d00004851ce1a49a6440fd8a78b490b9c
